IncludeHost,Name,Category,URL
_spf.act-on.net,Act-On,Bulk Email/Marketing,https://www.act-on.com/
amazonses.com,Amazon SES,Bulk Email/Marketing,https://aws.amazon.com/ses/
_spf.atlassian.net,Atlassian,Digital Technology,https://www.atlassian.com/
spf.autopilothq.com,Autopilot,Bulk Email/Marketing,https://www.autopilothq.com/
autotask.net,AutoTask,Helpdesk/Servicedesk,https://www.autotask.com/
spf.ess.barracudanetworks.com,Barracuda ESS,Mail Filtering/Security,https://www.barracuda.com/ess
_netblocks1.b2be.com.au,Business2Business e-Solutions,Digital Technology,https://www.b2be.com/
_spf.createsend.com,Campaign Monitor,Bulk Email/Marketing,https://www.campaignmonitor.com/
cmail1.com,Campaign Monitor,Bulk Email/Marketing,https://www.campaignmonitor.com/
customers.clickdimensions.com,ClickDimensions,Bulk Email/Marketing,https://clickdimensions.com/
spf.emailsignatures365.com,CodeTwo Email Signatures for Office 365,Email Signatures,https://www.codetwo.com
_spf.coinscloud.com.au,COINS,Digital Technology,https://www.coins-global.com
emailcc.com,Concep,Bulk Email/Marketing,https://www.concep.com/
confirmit.com.au,Confirmit,Digital Technology,https://www.confirmit.com/
criticalarc.com,CriticalArc,Digital Technology,https://www.criticalarc.com/
_spf.dealersocket.com,DealerSocket,CRM/ERP,https://dealersocket.com/crm
spf.data2gold.com,Digital Alchemy,Bulk Email/Marketing,http://digital-alchemy.com/
spf.boardbooks.com,Diligent Software,Digital Technology,https://diligent.com/
spf.dynect.net,DYN (Oracle) ECT,Bulk Email/Marketing,https://www.dyn.com
emailsrvr.com,emailsrvr.com,Free Email Hosting,http://emailsrvr.com
spf.exclaimer.net,Exclaimer,Email Signatures,http://www.exclaimer.com/
mailcontrol.com,Forcepoint (Formerly Websense),Mail Filtering/Security,https://www.forcepoint.com/
email.freshservice.com,FreshService,Helpdesk/Servicedesk,https://freshservice.com/
gate4.frontiersoftware.com.au,Frontier Software,Digital Technology,https://frontiersoftware.com/
production.fxdms.net,Fuji Xerox Document/Email Automation,Digital Technology,https://portal.fxdms.net/sc/
smtproutes.com,GFI MailEssentials Online,Mail Filtering/Security,https://www.gfi.com/
gocanvas.com,GoCanvas,Digital Technology,https://www.gocanvas.com
_spf.google.com,Google/Gmail,Mail Filtering/Security,https://mail.google.com
helpscoutemail.com,Help Scout,Helpdesk/Servicedesk,https://www.helpscout.com/
talkbox.email,Impact Data Talkbox,Bulk Email/Marketing,https://www.impactdata.com.au/talkbox.html
_rsspf.infotrack.com.au,InfoTrack,Digital Technology,https://www.infotrack.com.au/
spf.mail.intercom.io,Intercom,Bulk Email/Marketing,https://www.intercom.com/
ivvy.net,iVvy,Digital Technology,https://www.ivvy.com
_spf.olhub.com,Kademi,Bulk Email/Marketing,https://www.kademi.co/
_shortspf.launchmetrics.com,Launchmetrics,Bulk Email/Marketing,https://www.launchmetrics.com/
servers.mcsv.net,MailChimp,Bulk Email/Marketing,https://mailchimp.com/
customer.mailguard.com.au,MailGuard,Mail Filtering/Security,https://www.mailguard.com.au/
mailgun.org,Mailgun,Bulk Email/Marketing,https://www.mailgun.com/
spf.mailjet.com,Mailjet,Bulk Email/Marketing,https://www.mailjet.com/
spf.mpmailmx.com,Manage Protect,Mail Filtering/Security,https://www.manageprotect.com/
spf.mandrillapp.com,Mandrill,Bulk Email/Marketing,https://mandrill.com/
mktomail.com,Marketo,Bulk Email/Marketing,http://www.marketo.com/
medallia.com,Medallia,Surveys/Feedback,https://www.medallia.com/
spf.protection.outlook.com,Microsoft Exchange Online Protection,Mail Filtering/Security,https://www.microsoft.com
outlook.com,Microsoft Outlook.com,Free Email Hosting,http://outlook.com
sharepointonline.com,Microsoft SharePoint Online,Digital Technology,https://www.microsoft.com
_netblocks.mimecast.com,Mimecast,Mail Filtering/Security,https://www.mimecast.com
au._netblocks.mimecast.com,Mimecast,Mail Filtering/Security,https://www.mimecast.com
mybos.com,MYBOS,Digital Technology,https://www.mybos.com/
mailsenders.netsuite.com,NetSuite,CRM/ERP,http://www.netsuite.com/
relay.nexon.com.au,Nexon,MSP,https://www.nexon.com.au
aspmx.pardot.com,Pardot (Salesforce),Bulk Email/Marketing,https://www.pardot.com/
et._spf.pardot.com,Pardot (Salesforce),Bulk Email/Marketing,https://www.pardot.com/
_spf.peoplepulse.com,PeoplePulse,Surveys/Feedback,https://www.peoplepulse.com/
pivot.net.nz,Pivot Software,Digital Technology,https://www.pivotsoftware.com/
spf.mtasv.net,Postmark,Bulk Email/Marketing,https://postmarkapp.com/
pphosted.com,ProofPoint,Mail Filtering/Security,https://www.proofpoint.com
_spf.qualtrics.com,Qualtrics (SAP),Bulk Email/Marketing,https://www.qualtrics.com/
spf.clients.rapidglobal.com,RapidGlobal,Digital Technology,https://www.rapidglobal.com/
_spf.retarus.com,Retarus,Mail Filtering/Security,https://www.retarus.com
email.rexsoftware.com,Rex Software,CRM/ERP,https://www.rexsoftware.com/
runway.com.au,Runway,CRM/ERP,https://runway.com.au/
_spf.salesforce.com,Salesforce,CRM/ERP,https://www.salesforce.com
cust-spf.exacttarget.com,Salesforce Email Studio (Formerly ExactTarget),Bulk Email/Marketing,https://www.salesforce.com
spf.exacttarget.com,Salesforce Email Studio (Formerly ExactTarget),Bulk Email/Marketing,https://www.salesforce.com
sendgrid.biz,SendGrid,Bulk Email/Marketing,https://sendgrid.com/
sendgrid.net,SendGrid,Bulk Email/Marketing,https://sendgrid.com/
_spfinc1.service-now.com,Service-Now,Helpdesk/Servicedesk,https://www.servicenow.com/
service-now.com,Service-Now,Helpdesk/Servicedesk,https://www.servicenow.com/
shops.shopify.com,Shopify,eCommerce,https://shopify.com
sign-up.to,Sign-Up.to,Bulk Email/Marketing,https://www.signupto.com/
spf.smtp2go.com,SMTP2GO,Bulk Email/Marketing,https://www.smtp2go.com/
spf.mailcluster.com.au,Spam Experts (Solarwinds),Mail Filtering/Security,https://www.spamexperts.com/
stspg-customer.com,Statuspage.io (Atlassian),Helpdesk/Servicedesk,https://www.statuspage.io/
surveymonkey.com,Survey Monkey,Surveys/Feedback,https://www.surveymonkey.com/
research.net,Survey Monkey,Surveys/Feedback,https://www.surveymonkey.com/
app.sgizmo.com,SurveyGizmo,Surveys/Feedback,https://www.surveygizmo.com/
spf.swiftdigital.com.au,Switft Digital,Bulk Email/Marketing,https://www.swiftdigital.com.au/
messagelabs.com,Symantec Email Security (formerly Messagelabs),Mail Filtering/Security,https://www.symantec.com/products/messaging-security
clients.taguchimail.com,Taguchi,Bulk Email/Marketing,https://taguchi.com.au/
mailrelay.t1cloud.com,TechnologyOne,Digital Technology,https://www.technologyonecorp.com/
cloud.telstra.com,Telstra,Telecommunications,https://www.telstra.com.au/
tpgi.com.au,TPG,Telecommunications,https://tpg.com.au
spf.hes.trendmicro.com,Trend Micro,Mail Filtering/Security,https://www.trendmicro.com
archivecloud.net,Veritas Enterprise Vault Cloud,Email Archiving,https://www.veritas.com/en/au/product/information-governance/enterprise-vault
spf.v6send.net,Vision6,Bulk Email/Marketing,https://www.vision6.com/
vx-email.com,Vuture Marketing,Bulk Email/Marketing,https://vutu.re/
spf.whispir.com,Whispir,Bulk Email/Marketing,https://www.whispir.com/
spf.workfront.com,Workfront,Digital Technology,https://www.workfront.com/
mail.zendesk.com,ZenDesk,Helpdesk/Servicedesk,https://www.zendesk.com/
transmail.net,Zoho CRM,CRM/ERP,https://www.zoho.com/crm/
zoho.com,Zoho CRM,CRM/ERP,https://www.zoho.com/crm/
